label,time_ms,ch0_rate_hz,ch0_var_isi_ms,ch1_rate_hz,ch1_var_isi_ms,ch2_rate_hz,ch2_var_isi_ms,ch3_rate_hz,ch3_var_isi_ms,ch4_rate_hz,ch4_var_isi_ms,ch5_rate_hz,ch5_var_isi_ms
5,65869.750,238.000000,0.034096,274.000000,0.015138,86.000000,43.446287,114.000000,13.372588,272.000000,0.017099,54.000000,4.559172
5,65969.750,240.000000,0.035035,274.000000,0.015973,84.000000,39.378049,110.000000,18.313443,272.000000,0.023217,54.000000,2.140255
5,66069.750,244.000000,0.064827,278.000000,0.016413,82.000000,41.816250,104.000000,28.563774,268.000000,0.034421,54.000000,4.814072
5,66169.750,248.000000,0.068783,276.000000,0.016437,70.000000,43.844777,88.000000,35.357626,258.000000,0.055355,50.000000,5.410482
5,66269.750,256.000000,0.043013,278.000000,0.015582,58.000000,31.204082,68.000000,27.315771,254.000000,0.052221,48.000000,3.306947
5,66369.750,260.000000,0.023061,282.000000,0.011416,52.000000,17.008400,56.000000,7.635974,252.000000,0.032744,46.000000,1.543388
5,66469.750,260.000000,0.018073,286.000000,0.001293,58.000000,4.171158,58.000000,5.151467,248.000000,0.029505,44.000000,0.619898
5,66569.750,254.000000,0.042348,286.000000,0.000000,58.000000,3.629703,60.000000,3.760107,238.000000,0.097655,42.000000,1.724219
5,66669.750,244.000000,0.105133,288.000000,0.006211,58.000000,3.903300,60.000000,4.571641,230.000000,0.353344,40.000000,11.990651
5,66769.750,236.000000,0.136734,288.000000,0.008436,56.000000,4.622599,58.000000,5.910395,208.000000,1.030411,36.000000,24.176038
5,66869.750,228.000000,0.081721,290.000000,0.008388,52.000000,7.492600,54.000000,7.102533,182.000000,1.742562,34.000000,19.454834
5,66969.750,224.000000,0.043594,286.000000,0.021539,48.000000,20.396503,50.000000,10.236871,162.000000,1.478750,32.000000,13.278889
5,67069.750,224.000000,0.047003,280.000000,0.031003,44.000000,28.580215,48.000000,11.113185,152.000000,0.862489,32.000000,8.880556
5,67169.750,232.000000,0.081030,280.000000,0.019383,42.000000,19.255625,46.000000,11.356018,152.000000,0.796289,32.000000,2.983333
5,67269.750,240.000000,0.082533,280.000000,0.015534,44.000000,31.722222,50.000000,20.421875,164.000000,1.137517,34.000000,0.738037
